"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"oncofair-careplan","CarePlan.basedOn","CarePlan.basedOn","","fulfills
","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan], CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest], CanonicalType[http://hl7.org/fhir/StructureDefinition/RequestOrchestration], CanonicalType[http://hl7.org/fhir/StructureDefinition/NutritionOrder]]}
","Fulfills plan, proposal or order","A higher-level request resource (i.e. a plan, proposal or order) that is fulfilled in whole or in part by this care plan.","","Allows tracing of the care plan and tracking whether proposals/recommendations were acted upon.","","","","","","","",,,,,"",,,,"CarePlan.basedOn",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.replaces","CarePlan.replaces","","supersedes
","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan]]}
","CarePlan replaced by this CarePlan","Completed or terminated care plan whose function is taken by this new care plan.","The replacement could be because the initial care plan was immediately rejected (due to an issue) or because the previous care plan was completed, but the need for the action described by the care plan remains ongoing.","Allows tracing the continuation of a therapy or administrative process instantiated through multiple care plans.","","","","","","","",,,,,"",,,,"CarePlan.replaces",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.partOf","CarePlan.partOf","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan]]}
","Part of referenced CarePlan","A larger care plan of which this particular care plan is a component or step.","Each care plan is an independent request, such that having a care plan be part of another care plan can cause issues with cascading statuses.  As such, this element is still being discussed.","","","","","","","","",,,,,"",,,,"CarePlan.partOf",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.status","CarePlan.status","","","",1,1,"Y","Y","Y","code {[]} {[]}
","draft | active | on-hold | revoked | completed | entered-in-error | unknown","Indicates whether the plan is currently being acted upon, represents future intentions or is now a historical record.","The unknown code is not to be used to convey other statuses.  The unknown code should be used when one of the statuses applies, but the authoring system doesn't know the current state of the care plan.

This element is labeled as a modifier because the status contains the code entered-in-error that marks the plan as not currently valid.","Allows clinicians to determine whether the plan is actionable or not.","","","","","","","",,"required","Indicates whether the plan is currently being acted upon, represents future intentions or is now a historical record.","http://hl7.org/fhir/ValueSet/request-status|5.0.0","",,,,"CarePlan.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.intent","CarePlan.intent","","","",1,1,"","Y","Y","code {[]} {[]}
","proposal | plan | order | option | directive","Indicates the level of authority/intentionality associated with the care plan and where the care plan fits into the workflow chain.","This element is labeled as a modifier because the intent alters when and how the resource is actually applicable.
This element is expected to be immutable. E.g. A ""proposal"" instance should never change to be a ""plan"" instance or ""order"" instance. Instead, a new instance 'basedOn' the prior instance should be created with the new 'intent' value.","Proposals/recommendations, plans and orders all use the same structure and can exist in the same fulfillment chain.","","","","","","","",,"required","Codes indicating the degree of authority/intentionality associated with a care plan.","http://hl7.org/fhir/ValueSet/care-plan-intent|5.0.0","",,,,"CarePlan.intent",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.category","CarePlan.category","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Type of plan","Identifies what ""kind"" of plan this is to support differentiation between multiple co-existing plans; e.g. ""Home health"", ""psychiatric"", ""asthma"", ""disease management"", ""wellness plan"", etc.","There may be multiple axes of categorization and one plan may serve multiple purposes.  In some cases, this may be redundant with references to CarePlan.addresses.","Used for filtering what plan(s) are retrieved and displayed to different types of users.","","","","","","","",,"example","Identifies what ""kind"" of plan this is to support differentiation between multiple co-existing plans; e.g. ""Home health"", ""psychiatric"", ""asthma"", ""disease management"", etc.","http://hl7.org/fhir/ValueSet/care-plan-category","",,,,"CarePlan.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.title","CarePlan.title","","","",1,1,"Y","","Y","string {[]} {[]}
","The protocol label","Human-friendly name for the care plan.","","","","","","","","","",,,,,"",,,,"CarePlan.title",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.description","CarePlan.description","","","",0,1,"","","Y","string {[]} {[]}
","Summary of nature of plan","A description of the scope and nature of the plan.","","Provides more detail than conveyed by category.","","","","","","","",,,,,"",,,,"CarePlan.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.subject","CarePlan.subject","","patient
","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/Group]]}
","Who the care plan is for","Identifies the patient or group whose intended care is described by the plan.","","","","","","","","","",,,,,"",,,,"CarePlan.subject",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.encounter","CarePlan.encounter","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","The Encounter during which this CarePlan was created","The Encounter during which this CarePlan was created or to which the creation of this record is tightly associated.","This will typically be the encounter the event occurred within, but some activities may be initiated prior to or after the official completion of an encounter but still be tied to the context of the encounter. CarePlan activities conducted as a result of the care plan may well occur as part of other encounters.","","","","","","","","",,,,,"",,,,"CarePlan.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.period","CarePlan.period","","timing
","",0,1,"","","Y","Period {[]} {[]}
","Time period plan covers","Indicates when the plan did (or is intended to) come into effect and end.","Any activities scheduled as part of the plan should be constrained to the specified period regardless of whether the activities are planned within a single encounter/episode or across multiple encounters/episodes (e.g. the longitudinal management of a chronic condition).","Allows tracking what plan(s) are in effect at a particular time.","","","","","","","",,,,,"",,,,"CarePlan.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.created","CarePlan.created","","authoredOn
","",0,1,"","","Y","dateTime {[]} {[]}
","Date record was first recorded","Represents when this particular CarePlan record was created in the system, which is often a system-generated date.","","","","","","","","","",,,,,"",,,,"CarePlan.created",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.custodian","CarePlan.custodian","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam]]}
","Who is the designated responsible party","When populated, the custodian is responsible for the care plan. The care plan is attributed to the custodian.","The custodian might or might not be a contributor.","","","","","","","","",,,,,"",,,,"CarePlan.custodian",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.contributor","CarePlan.contributor","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam]]}
","Who provided the content of the care plan","Identifies the individual(s), organization or device who provided the contents of the care plan.","Collaborative care plans may have multiple contributors.","","","","","","","","",,,,,"",,,,"CarePlan.contributor",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.careTeam","CarePlan.careTeam","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam]]}
","Who's involved in plan?","Identifies all people and organizations who are expected to be involved in the care envisioned by this plan.","","Allows representation of care teams, helps scope care plan.  In some cases may be a determiner of access permissions.","","","","","","","",,,,,"",,,,"CarePlan.careTeam",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.addresses","CarePlan.addresses","","","",0,*,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition]]}
","Health issues this plan addresses","Identifies the conditions/problems/concerns/diagnoses/etc. whose management and/or mitigation are handled by this plan.","Use CarePlan.addresses.concept when a code sufficiently describes the concern (e.g. condition, problem, diagnosis, risk). Use CarePlan.addresses.reference when referencing a resource, which allows more information to be conveyed, such as onset date. CarePlan.addresses.concept and CarePlan.addresses.reference are not meant to be duplicative. For a single concern, either CarePlan.addresses.concept or CarePlan.addresses.reference can be used. CarePlan.addresses.concept may be a summary code, or CarePlan.addresses.reference may be used to reference a very precise definition of the concern using Condition. Both CarePlan.addresses.concept and CarePlan.addresses.reference can be used if they are describing different concerns for the care plan.","The element can identify risks addressed by the plan as well as concerns.  Also scopes plans - multiple plans may exist addressing different concerns.","","","","","","","",,"example","Codes that describe the health issues this plan addresses.","http://hl7.org/fhir/ValueSet/clinical-findings","",,,,"CarePlan.addresses",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.supportingInfo","CarePlan.supportingInfo","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Information considered as part of plan","Identifies portions of the patient's record that specifically influenced the formation of the plan.  These might include comorbidities, recent procedures, limitations, recent assessments, etc.","Use ""concern"" to identify specific conditions addressed by the care plan.  supportingInfo can be used to convey one or more Advance Directives or Medical Treatment Consent Directives by referencing Consent or any other request resource with intent = directive.","Identifies barriers and other considerations associated with the care plan.","","","","","","","",,,,,"",,,,"CarePlan.supportingInfo",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.goal","CarePlan.goal","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Goal]]}
","Desired outcome of plan","Describes the intended objective(s) of carrying out the care plan.","Goal can be achieving a particular change or merely maintaining a current state or even slowing a decline.","Provides context for plan.  Allows plan effectiveness to be evaluated by clinicians.","","","","","","","",,,,,"",,,,"CarePlan.goal",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.activity","CarePlan.activity","","","",0,*,"","","","BackboneElement {[]} {[]}
","Action to occur or has occurred as part of plan","Identifies an action that has occurred or is a planned action to occur as part of the plan. For example, a medication to be used, lab tests to perform, self-monitoring that has occurred, education etc.","","Allows systems to prompt for performance of planned activities, and validate plans against best practice.","","","","","","","",,,,,"",,,,"CarePlan.activity",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.activity.id","CarePlan.activity.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"oncofair-careplan","CarePlan.activity.extension","CarePlan.activity.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"oncofair-careplan","CarePlan.activity.modifierExtension","CarePlan.activity.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"oncofair-careplan","CarePlan.activity.performedActivity","CarePlan.activity.performedActivity","","","",0,*,"","","","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Results of the activity (concept, or Appointment, Encounter, Procedure, etc.)","Identifies the activity that was performed. For example, an activity could be patient education, exercise, or a medication administration. The reference to an ""event"" resource, such as Procedure or Encounter or Observation, represents the activity that was performed. The requested activity can be conveyed using the CarePlan.activity.plannedActivityReference (a reference to a “request” resource).","Note that this should not duplicate the activity status (e.g. completed or in progress). The activity performed is independent of the outcome of the related goal(s). For example, if the goal is to achieve a target body weight of 150 lbs and an activity is defined to exercise, then the activity performed could be amount and intensity of exercise performed whereas the goal outcome is an observation for the actual body weight measured.","Links plan to resulting actions.","","","","","","","",,"example","Identifies the results of the activity.","http://hl7.org/fhir/ValueSet/care-plan-activity-performed","",,,,"CarePlan.activity.performedActivity",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.activity.progress","CarePlan.activity.progress","","","",0,*,"","","","Annotation {[]} {[]}
","Comments about the activity status/progress","Notes about the adherence/status/progress of the activity.","This element should NOT be used to describe the activity to be performed - that occurs either within the resource pointed to by activity.detail.reference or in activity.detail.description.","Can be used to capture information about adherence, progress, concerns, etc.","","","","","","","",,,,,"",,,,"CarePlan.activity.progress",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.activity.plannedActivityReference","CarePlan.activity.plannedActivityReference","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Appointment], CanonicalType[http://hl7.org/fhir/StructureDefinition/CommunicationRequest], CanonicalType[http://hl7.org/fhir/StructureDefinition/DeviceRequest], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationRequest], CanonicalType[http://hl7.org/fhir/StructureDefinition/NutritionOrder], CanonicalType[http://hl7.org/fhir/StructureDefinition/Task], CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest], CanonicalType[http://hl7.org/fhir/StructureDefinition/VisionPrescription], CanonicalType[http://hl7.org/fhir/StructureDefinition/RequestOrchestration], CanonicalType[http://hl7.org/fhir/StructureDefinition/ImmunizationRecommendation], CanonicalType[http://hl7.org/fhir/StructureDefinition/SupplyRequest]]}
","Activity that is intended to be part of the care plan","The details of the proposed activity represented in a specific resource.","Standard extension exists ([http://hl7.org/fhir/StructureDefinition/resource-pertainsToGoal](http://hl7.org/fhir/extensions/StructureDefinition-resource-pertainsToGoal.html)) that allows goals to be referenced from any of the referenced resources in CarePlan.activity.plannedActivityReference.  
The goal should be visible when the resource referenced by CarePlan.activity.plannedActivityReference is viewed independently from the CarePlan.  Requests that are pointed to by a CarePlan using this element should *not* point to this CarePlan using the ""basedOn"" element.  i.e. Requests that are part of a CarePlan are not ""based on"" the CarePlan.","Details in a form consistent with other applications and contexts of use.","","","","","","","",,,,,"",,,,"CarePlan.activity.plannedActivityReference",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.note","CarePlan.note","","","",0,*,"Y","","","Annotation {[]} {[]}
","Comments about the plan","General notes about the care plan not covered elsewhere.","","Used to capture information that applies to the plan as a whole that doesn't fit into discrete elements.","","","","","","","",,,,,"","value:id}
","",,"open","CarePlan.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-careplan","CarePlan.note:indication","CarePlan.note","indication","","",0,1,"","","","Annotation {[]} {[]}
","Comments about the plan","General notes about the care plan not covered elsewhere.","","Used to capture information that applies to the plan as a whole that doesn't fit into discrete elements.","","","","","","","",,,,,"",,,,"CarePlan.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
